# CSM model "Johnson-Hearn" contributed by author K. Johnson and E. Hearn.
# Reference: Johnson (2024), doi:10.1029/ 2023JB027472.
# Last revised on 22 Aug 2024, this *.csv version assembled by K. Luttrell on 08 Oct 2024.
#
# This is a stressing_rate model.
# Tension is taken as positive (physics convention).
# This model provides both meaningful orientation and meaningful magnitude.
# It is defined for depths from 1 km to 15 km.
# These model values do not vary with depth.
#
# Data Columns:
# 1) Longitude in degrees, WGS84 (California has negative LON)
# 2) Latitude in degrees, WGS84
# 3) Depth in km relative to mean sea level (positive: below sea-level; negative: above sea-level)
# 4) See stressing rate tensor component in MPa/yr
# 5) Sen stressing rate tensor component in MPa/yr
# 6) Seu stressing rate tensor component in MPa/yr
# 7) Snn stressing rate tensor component in MPa/yr
# 8) Snu stressing rate tensor component in MPa/yr
# 9) Suu stressing rate tensor component in MPa/yr
# 10) SHmax angle in degrees East of North (calculated from tensor using Lund and Townend [2007] eqn. 11)
# 11) SHmax angle uncertainty in degrees (if provided by the author, NaN otherwise)
# 12) phi shape parameter (S1-S2)/(S1-S3) for positive tension (calculated from tensor as in Angelier [1979])
# 13) R stress ratio (S2-S3)/(S1-S3) for positive tension (calculated from tensor as in Gephart and Forsyth [1984])
# 14) Aphi Anderson modified shape parameter (calculated from tensor as in Simpson [1997])
# 15) isotropic pressure rate (S1+S2+S3)/3 in MPa/yr (calculated from tensor)
# 16) differential stressing rate (S1-S3) in MPa/yr (calculated from tensor)
# 17) maximum shear stressing rate "Von Mises stressing rate" (S1-S3)/2 in MPa/yr (calculated from tensor)
# 18) S1 most tensional principal stress rate in MPa/yr (eigenvalues calculated from tensor)
# 19) S2 intermediate principal stress rate in MPa/yr
# 20) S3 most compressional principal stress rate in MPa/yr
# 21) V1x unit vector component of most tensional principal axis (eigenvectors calculated from tensor)
# 22) V1y unit vector component of most tensional principal axis (NOTE: principal axes are bi-directional)
# 23) V1z unit vector component of most tensional principal axis (unit vector given for above-horizontal end)
# 24) V2x unit vector component of intermediate principal axis
# 25) V2y unit vector component of intermediate principal axis
# 26) V2z unit vector component of intermediate principal axis
# 27) V3x unit vector component of most compressional principal axis
# 28) V3y unit vector component of most compressional principal axis
# 29) V3z unit vector component of most compressional principal axis
# 30) V1 plunge of most tensional principal axis in degrees below horizontal (calculated from eigenvectors)
# 31) V2 plunge of intermediate principal axis in degrees below horizontal
# 32) V3 plunge of most compressional principal axis in degrees below horizontal
# 33) V1 azimuth of most tensional principal axis in degrees East of North     (calculated from eigenvectors)
# 34) V2 azimuth of intermediate principal axis in degrees East of North       (NOTE: principal axes are bi-directional)
# 35) V3 azimuth of most compressional principal axis in degrees East of North (azimuth given for below-horizontal end)
# 
# LON,LAT,DEP,See,Sen,Seu,Snn,Snu,Suu,SHmax,SHmax_unc,phi,R,Aphi,iso,dif,mss,S1,S2,S3,V1x,V1y,V1z,V2x,V2y,V2z,V3x,V3y,V3z,V1pl,V2pl,V3pl,V1azi,V2azi,V3azi
"-119.149",33.273,9,0.001158,-3.4e-05,0,-0.003369,0,0,0.426,,0.256,0.744,1.744,-0.000737,0.004528,0.002264,0.001158,0,-0.00337,-1,0.007,0,0,0,1,0.007,1,0,0,90,0,90.426,180,180.426
"-119.149",33.291,9,0.001158,-3.8e-05,0,-0.0034,0,0,0.48,,0.254,0.746,1.746,-0.000747,0.004559,0.002279,0.001159,0,-0.0034,-1,0.008,0,0,0,1,0.008,1,0,0,90,0,90.48,180,180.48
"-119.149",33.3089,9,0.00116,-4.2e-05,0,-0.003431,0,0,0.528,,0.253,0.747,1.747,-0.000757,0.004592,0.002296,0.00116,0,-0.003432,-1,0.009,0,0,0,1,0.009,1,0,0,90,0,90.528,180,180.528
"-119.149",33.3269,9,0.001162,-4.6e-05,0,-0.003464,0,0,0.569,,0.251,0.749,1.749,-0.000767,0.004627,0.002313,0.001162,0,-0.003465,-1,0.01,0,0,0,1,0.01,1,0,0,90,0,90.569,180,180.569
"-119.149",33.3449,9,0.001165,-4.9e-05,0,-0.003499,0,0,0.601,,0.25,0.75,1.75,-0.000778,0.004665,0.002332,0.001166,0,-0.003499,-1,0.01,0,0,0,1,0.01,1,0,0,90,0,90.601,180,180.601
"-119.149",33.3629,9,0.00117,-5.1e-05,0,-0.003535,0,0,0.625,,0.249,0.751,1.751,-0.000788,0.004706,0.002353,0.001171,0,-0.003535,-1,0.011,0,0,0,1,0.011,1,0,0,90,0,90.625,180,180.625
"-119.149",33.3809,9,0.001173,-5.4e-05,0,-0.003572,0,0,0.646,,0.247,0.753,1.753,-0.000799,0.004746,0.002373,0.001174,0,-0.003572,-1,0.011,0,0,0,1,0.011,1,0,0,90,0,90.646,180,180.646
"-119.149",33.3989,9,0.001175,-5.6e-05,0,-0.003611,0,0,0.671,,0.246,0.754,1.754,-0.000812,0.004787,0.002394,0.001176,0,-0.003611,-1,0.012,0,0,0,1,0.012,1,0,0,90,0,90.671,180,180.671
"-119.149",33.4169,9,0.001172,-6e-05,0,-0.003649,0,0,0.715,,0.243,0.757,1.757,-0.000826,0.004823,0.002411,0.001173,0,-0.00365,-1,0.012,0,0,0,1,0.012,1,0,0,90,0,90.715,180,180.715
"-119.149",33.4349,9,0.001168,-6.5e-05,0,-0.003689,0,0,0.762,,0.241,0.759,1.759,-0.00084,0.004858,0.002429,0.001169,0,-0.00369,-1,0.013,0,0,0,1,0.013,1,0,0,90,0,90.762,180,180.762
"-119.149",33.4529,9,0.001163,-6.9e-05,0,-0.003729,0,0,0.805,,0.238,0.762,1.762,-0.000855,0.004894,0.002447,0.001164,0,-0.00373,-1,0.014,0,0,0,1,0.014,1,0,0,90,0,90.805,180,180.805
"-119.149",33.4708,9,0.001159,-7.3e-05,0,-0.003768,0,0,0.846,,0.235,0.765,1.765,-0.00087,0.004929,0.002464,0.00116,0,-0.003769,-1,0.015,0,0,0,1,0.015,1,0,0,90,0,90.846,180,180.846
"-119.149",33.4888,9,0.001154,-7.6e-05,0,-0.003807,0,0,0.882,,0.233,0.767,1.767,-0.000885,0.004963,0.002482,0.001155,0,-0.003809,-1,0.015,0,0,0,1,0.015,1,0,0,90,0,90.882,180,180.882
"-119.149",33.5068,9,0.001148,-8e-05,0,-0.003847,0,0,0.916,,0.23,0.77,1.77,-0.0009,0.004997,0.002499,0.001149,0,-0.003848,-1,0.016,0,0,0,1,0.016,1,0,0,90,0,90.916,180,180.916
"-119.149",33.5248,9,0.001142,-8.3e-05,0,-0.003886,0,0,0.945,,0.227,0.773,1.773,-0.000915,0.005031,0.002515,0.001144,0,-0.003887,-1,0.016,0,0,0,1,0.016,1,0,0,90,0,90.945,180,180.945
"-119.149",33.5428,9,0.001136,-8.6e-05,0,-0.003925,0,0,0.97,,0.225,0.775,1.775,-0.00093,0.005064,0.002532,0.001138,0,-0.003927,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.97,180,180.97
"-119.149",33.5608,9,0.00113,-8.8e-05,0,-0.003965,0,0,0.991,,0.222,0.778,1.778,-0.000945,0.005099,0.002549,0.001132,0,-0.003967,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.991,180,180.991
"-119.149",33.5788,9,0.001126,-9e-05,0,-0.004006,0,0,1.002,,0.22,0.78,1.78,-0.00096,0.005134,0.002567,0.001127,0,-0.004007,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,91.002,180,181.002
"-119.149",33.5968,9,0.001122,-9e-05,0,-0.004046,0,0,0.992,,0.217,0.783,1.783,-0.000975,0.005171,0.002586,0.001123,0,-0.004048,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.992,180,180.992
"-119.149",33.6148,9,0.001118,-8.9e-05,0,-0.004089,0,0,0.981,,0.215,0.785,1.785,-0.00099,0.00521,0.002605,0.001119,0,-0.004091,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.981,180,180.981
"-119.149",33.6327,9,0.001112,-8.9e-05,0,-0.004133,0,0,0.973,,0.212,0.788,1.788,-0.001007,0.005248,0.002624,0.001113,0,-0.004134,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.973,180,180.973
"-119.149",33.6507,9,0.001104,-9e-05,0,-0.004177,0,0,0.974,,0.209,0.791,1.791,-0.001024,0.005284,0.002642,0.001105,0,-0.004179,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.974,180,180.974
"-119.149",33.6687,9,0.001094,-9.1e-05,0,-0.004223,0,0,0.981,,0.206,0.794,1.794,-0.001043,0.00532,0.00266,0.001095,0,-0.004224,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.981,180,180.981
"-119.149",33.6867,9,0.001083,-9.3e-05,0,-0.00427,0,0,0.993,,0.203,0.797,1.797,-0.001062,0.005356,0.002678,0.001085,0,-0.004271,-1,0.017,0,0,0,1,0.017,1,0,0,90,0,90.993,180,180.993
"-119.149",33.7047,9,0.001072,-9.5e-05,0,-0.004318,0,0,1.005,,0.199,0.801,1.801,-0.001082,0.005393,0.002696,0.001073,0,-0.00432,-1,0.018,0,0,0,1,0.018,1,0,0,90,0,91.005,180,181.005
"-119.149",33.7227,9,0.00106,-9.6e-05,0,-0.004367,0,0,1.018,,0.195,0.805,1.805,-0.001103,0.00543,0.002715,0.001061,0,-0.004369,-1,0.018,0,0,0,1,0.018,1,0,0,90,0,91.018,180,181.018
"-119.149",33.7407,9,0.001047,-9.8e-05,0,-0.004418,0,0,1.027,,0.192,0.808,1.808,-0.001124,0.005469,0.002735,0.001049,0,-0.00442,-1,0.018,0,0,0,1,0.018,1,0,0,90,0,91.027,180,181.027
"-119.149",33.7587,9,0.001035,-9.9e-05,0,-0.004471,0,0,1.033,,0.188,0.812,1.812,-0.001145,0.00551,0.002755,0.001037,0,-0.004473,-1,0.018,0,0,0,1,0.018,1,0,0,90,0,91.033,180,181.033
