x,y,z,peakV_mps,log_argmax_hits,is_blowup
523238.000,3757610.000,-51.210,14.9806,13,0
547074.000,3750520.000,-33.380,14.9662,124,0
523319.000,3757630.000,-74.764,14.9549,38,0
546746.000,3750730.000,-175.325,14.8661,23,0
548364.000,3749950.000,-34.319,14.86,264,0
553103.000,3747720.000,-59.493,14.8576,250,0
523222.000,3757500.000,-12.803,14.85,5,0
521615.000,3759150.000,-170.439,14.8334,97,0
522857.000,3757710.000,-12.803,14.8272,81,0
522825.000,3757820.000,-37.849,14.6907,145,0
521334.000,3758890.000,-17.531,14.6744,24,0
547296.000,3750420.000,-33.380,14.6678,187,0
550029.000,3749240.000,-111.193,14.6532,302,0
513596.000,3768100.000,-2965.190,14.6426,3,0
544056.000,3751950.000,-156.312,14.6313,22,0
553949.000,3747220.000,-65.338,14.5966,133,0
522425.000,3758320.000,-80.974,14.5835,178,0
521674.000,3758910.000,-108.352,14.5766,133,0
521001.000,3759390.000,-138.945,14.5482,47,0
514011.000,3767550.000,-2617.840,14.5214,9,0
522970.000,3758010.000,-112.986,14.4877,10,0
523285.000,3766110.000,-5325.640,14.487,126,0
513582.000,3763510.000,-199.199,14.4081,23,0
522205.000,3758350.000,-42.030,14.3948,134,0
514434.000,3767650.000,-2871.260,14.3767,26,0
521083.000,3759290.000,-115.142,14.3515,27,0
530887.000,3756820.000,-207.145,14.3444,7,0
513834.000,3762980.000,-39.189,14.3338,42,0
553874.000,3747370.000,-261.353,14.3303,71,0
522340.000,3758540.000,-129.176,14.3102,36,0
547019.000,3750560.000,-68.243,14.2981,20,0
513553.000,3768480.000,-3291.480,14.2871,4,0
522712.000,3757900.000,-38.027,14.2185,150,0
607407.000,3702510.000,-63.960,14.1511,173,0
546980.000,3750630.000,-172.831,14.1159,40,0
523174.000,3766050.000,-5247.630,14.1104,9,0
522212.000,3758250.000,-12.981,14.0922,14,0
522083.000,3758450.000,-46.580,14.0725,94,0
521972.000,3758400.000,-17.531,14.0591,174,0
